City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
pandan,14.0453,124.1694,299.73,84,51,3.65,Pandan,1683829148
nova sintra,14.8667,-24.7167,293.21,82,5,7.42,Nova Sintra,1683828952
ust-nera,64.5667,143.2,272.63,89,98,2.04,Ust-Nera,1683828952
waitangi,-43.9535,-176.5597,284.39,54,72,9.75,Waitangi,1683828952
puerto ayora,-0.7393,-90.3518,300.68,93,64,2.68,Puerto Ayora,1683828952
port-aux-francais,-49.35,70.2167,280.66,92,100,18.57,Port-aux-Français,1683828633
bethel,41.3712,-73.414,298.27,32,0,5.14,Bethel,1683828782
newman,37.3138,-121.0208,292.13,57,7,3.13,Newman,1683829120
beau vallon,-20.4189,57.6953,298.28,73,40,3.6,Beau Vallon,1683828953
sogndal,61.2283,7.1003,287.36,62,75,0,Sogndal,1683828954
edinburgh of the seven seas,-37.0676,-12.3116,289.9,77,88,10.18,Edinburgh of the Seven Seas,1683828954
grytviken,-54.2811,-36.5092,270.11,79,27,4.95,Grytviken,1683828954
kapuskasing,49.4169,-82.4331,294.15,46,95,4.63,Kapuskasing,1683828853
coxen hole,16.3244,-86.5366,303.75,70,20,6.17,Coxen Hole,1683828955
iqaluit,63.7506,-68.5145,269.65,73,20,4.63,Iqaluit,1683828955
kati,12.7441,-8.0726,312.82,9,96,3.28,Kati,1683828955
punta arenas,-53.15,-70.9167,281.11,76,0,6.69,Punta Arenas,1683828955
ribeira grande,38.5167,-28.7,293.37,64,20,5.36,Ribeira Grande,1683828956
west island,-12.1568,96.8225,302.14,84,75,6.17,West Island,1683828899
seosan,36.7817,126.4522,285.43,63,99,1.74,Seosan City,1683828956
blackmans bay,-43.0167,147.3167,278.4,89,100,2.92,Blackmans Bay,1683828956
suva,-18.1416,178.4415,295.86,94,75,2.06,Suva,1683828957
badger,64.8,-147.5333,285.28,50,75,2.57,Badger,1683828957
marrakesh,31.6315,-8.0083,305.19,25,20,4.63,Marrakesh,1683828957
bykovo,55.6361,38.0803,282.03,100,40,2,Bykovo,1683828958
novodvinsk,64.4165,40.8122,281.85,74,97,2.3,Novodvinsk,1683828958
vila nova da barquinha,39.4756,-8.4095,295.32,34,0,7.52,Vila Nova da Barquinha Municipality,1683828958
atafu village,-8.5421,-172.5159,302.09,76,73,6.45,Atafu Village,1683828958
ushuaia,-54.8,-68.3,280.96,71,75,2.57,Ushuaia,1683828918
port-gentil,-0.7193,8.7815,301.13,83,20,2.57,Port-Gentil,1683828959
tsiombe,-25.3,45.4833,295.89,87,92,1.26,Tsiombe,1683829092
adamstown,-25.066,-130.1015,294.63,55,94,8.83,Adamstown,1683828959
aasiaat,68.7098,-52.8699,270.52,74,100,0.96,Aasiaat,1683828960
bouza,14.4229,6.0428,307.42,28,92,2.38,Bouza,1683828960
saldanha,-33.0117,17.9442,288.12,63,100,9.76,Saldanha,1683828960
saipan,15.1355,145.701,300.18,100,40,2.24,Saipan,1683828961
albany,42.6001,-73.9662,297.92,32,7,1.79,Albany,1683828945
tolanaro,-25.0319,46.9987,296.86,87,100,4.5,Tôlanaro,1683828961
whitehorse,60.7161,-135.0538,285.53,41,75,4.63,Whitehorse,1683828961
vizinga,61.0749,50.1031,281.36,64,39,1.9,Vizinga,1683828962
fisterra,42.9049,-9.2629,290.29,70,1,8.66,Finisterra,1683829159
lihue,21.9789,-159.3672,294.89,88,100,3.6,Lihue,1683828962
wolmaransstad,-27.1974,25.9831,288.67,32,1,2.13,Wolmaransstad,1683828963
ixtapa,20.7,-105.2,302.72,45,0,3.6,Ixtapa,1683828963
nemuro,43.3236,145.575,276.19,82,14,5.3,Nemuro,1683828882
olonkinbyen,70.9221,-8.7187,272.63,86,95,4.04,Olonkinbyen,1683828963
yellowknife,62.456,-114.3525,290.13,33,2,5.36,Yellowknife,1683828602
upington,-28.4478,21.2561,293.36,24,0,1.03,Upington,1683828964
revda,56.801,59.9303,278.33,77,56,2.07,Revda,1683828964
ramadi,33.4226,43.3058,304.02,16,39,2.92,Ramadi,1683828965
papatowai,-46.5619,169.4708,283.74,86,91,6.3,Papatowai,1683828965
istgah-e rah ahan-e garmsar,35.2346,52.3094,299.13,19,84,0.97,Īstgāh-e Rāh Āhan-e Garmsār,1683828965
poronaysk,49.2167,143.1167,276.66,87,100,0.84,Poronaysk,1683828965
saudarkrokur,65.7461,-19.6394,286.62,60,96,8.51,Sauðarkrokur,1683828802
georgetown,5.4112,100.3354,303.06,88,20,1.54,George Town,1683828951
palmer,42.1584,-72.3287,299.01,28,12,0.45,Palmer,1683828966
kapa'a,22.0752,-159.319,294.94,88,100,3.6,Kapaa,1683829162
daoukro,7.0591,-3.9631,302.31,66,82,3.34,Daoukro,1683828967
aksu,41.1231,80.2644,292.84,11,29,2.12,Aksu,1683828967
erdenet,49.0333,104.0833,272.6,88,4,1.57,Erdenet,1683828967
tezu,27.9167,96.1667,297.14,34,38,2.39,Tezu,1683828968
massawa,15.6097,39.45,302.49,68,77,1.88,Massawa,1683828968
hamilton,39.1834,-84.5333,300.44,37,0,2.06,Hamilton,1683828968
antonio enes,-16.2325,39.9086,298,76,100,2.69,Angoche,1683828969
talnakh,69.4865,88.3972,256.6,86,19,5.85,Talnakh,1683828969
port lincoln,-34.7333,135.8667,287.67,70,87,5.09,Port Lincoln,1683828969
utrik,11.2278,169.8474,300.42,81,95,8.1,Utrik,1683828970
igarka,67.4667,86.5833,258.75,84,13,8.03,Igarka,1683828970
el bauga,18.262,33.9081,308.07,8,7,3.6,El Bauga,1683828970
hasaki,35.7333,140.8333,283.49,53,19,3.65,Hasaki,1683828971
karatuzskoye,53.6072,92.8667,282.1,77,99,2.77,Karatuzskoye,1683828971
luderitz,-26.6481,15.1594,289.52,68,100,8.03,Lüderitz,1683828971
la passe,45.5549,-0.8967,287.59,70,16,5.56,La Passe,1683828971
chapeco,-27.0964,-52.6183,291.01,59,20,3.09,Chapecó,1683828972
san luis,-33.295,-66.3356,295.95,39,75,3.19,San Luis,1683828972
tommot,58.9564,126.2925,272.92,98,100,2.83,Tommot,1683828744
garoowe,8.4054,48.4845,304.15,45,100,6.61,Garoowe,1683828973
port alfred,-33.5906,26.891,289.92,88,91,0.89,Port Alfred,1683828634
harlingen,26.1906,-97.6961,304.71,77,75,7.72,Harlingen,1683828940
crane,31.3974,-102.3501,300.44,10,0,6.76,Crane,1683828974
jamestown,42.097,-79.2353,295.96,37,0,3.09,Jamestown,1683828788
acapulco de juarez,16.8634,-99.8901,305.05,62,75,4.12,Acapulco de Juárez,1683828685
yashkino,55.8736,85.4265,276.75,94,94,1.97,Yashkino,1683828975
santa terezinha,-29.9002,-50.0904,291.42,61,71,6.7,Santa Terezinha,1683828975
palasa,18.7667,84.4167,300.38,81,100,2.02,Palāsa,1683828975
awjilah,29.1081,21.2869,300.68,26,3,4.4,Awjilah,1683828976
tingi,-11.3,35.0333,289.3,85,99,1.24,Tingi,1683828976
ancud,-41.8697,-73.8203,286.78,91,100,3.75,Ancud,1683828976
black river,18.0264,-77.8487,305.5,50,0,8.85,Black River,1683828977
enewetak,11.3474,162.3373,300.6,84,94,6.23,Enewetak,1683828977
masterton,-40.9597,175.6575,276.36,90,16,1.52,Masterton,1683828977
bredasdorp,-34.5322,20.0403,286.49,65,100,5.18,Bredasdorp,1683828977
richards bay,-28.783,32.0377,293.31,89,0,3.16,Richards Bay,1683828978
bastia,42.6667,9.3333,289.82,73,40,1.54,Arrondissement de Bastia,1683828978
rio grande,-32.035,-52.0986,292.21,69,67,5.32,Rio Grande,1683828978
mercedes,-34.6515,-59.4307,290.83,39,16,2.05,Mercedes,1683828979
tiksi,71.6872,128.8694,261.35,82,82,9.56,Tiksi,1683828633
murzuq,25.9155,13.9184,298.23,26,9,3.72,Murzuk,1683828979
berezovyy,51.6667,135.7,278.17,65,3,1.53,Berezovyy,1683828980
flying fish cove,-10.4217,105.6791,299.97,94,100,5.66,Flying Fish Cove,1683828980
sterling,39.0062,-77.4286,298.29,48,75,3.6,Sterling,1683828696
zhob,31.3411,69.4481,299.03,27,84,1.96,Zhob,1683828981
atar,20.5169,-13.0499,314.04,7,68,5.97,Atar,1683828981
san andres,12.5847,-81.7006,304.16,70,40,6.69,San Andrés,1683828981
vilyuysk,63.7553,121.6247,271.12,72,26,0.8,Vilyuysk,1683828982
tofol,5.3248,163.0078,298.96,85,99,0.93,Tofol,1683828982
puerto natales,-51.7236,-72.4875,282.4,76,75,2.06,Puerto Natales,1683828982
ataq,14.5377,46.8319,297.95,62,11,5.18,Ataq,1683828983
praia da vitoria,38.7333,-27.0667,290.29,94,75,5.26,Praia da Vitória,1683829076
